Year,T,TM,Tm,V,RA,SN,TS,FG,TN,GR
1966.0,14.9,21.5,8.6,9.6,46.0,6.0,1.0,17.0,0.0,0.0
1974.0,13.6,19.7,7.4,5.4,56.0,39.0,11.0,20.0,0.0,0.0
1975.0,14.5,21.4,8.1,5.9,60.0,27.0,2.0,14.0,0.0,1.0
1976.0,13.6,20.6,7.9,5.7,78.0,36.0,5.0,20.0,0.0,2.0
1977.0,14.4,21.4,8.5,5.5,67.0,31.0,9.0,28.0,1.0,2.0
1978.0,14.0,20.9,8.2,5.9,89.0,32.0,15.0,6.0,0.0,0.0
1979.0,14.1,21.0,8.1,5.8,86.0,36.0,6.0,20.0,0.0,1.0
1980.0,14.8,21.4,8.7,6.6,75.0,27.0,6.0,14.0,0.0,1.0
1981.0,14.9,21.2,9.1,6.2,90.0,13.0,13.0,11.0,0.0,0.0
1983.0,16.2,22.4,8.7,9.1,67.0,24.0,6.0,28.0,0.0,0.0
1984.0,13.7,20.0,6.7,7.3,71.0,34.0,7.0,50.0,0.0,2.0
1985.0,15.3,21.7,8.0,8.0,73.0,30.0,7.0,40.0,1.0,1.0
1986.0,14.8,21.7,8.5,6.2,63.0,25.0,8.0,12.0,0.0,0.0
1987.0,14.6,21.1,8.8,5.9,89.0,15.0,9.0,5.0,0.0,0.0
1988.0,15.3,22.0,9.1,5.8,78.0,17.0,7.0,9.0,0.0,0.0
1989.0,14.2,21.0,7.9,5.5,61.0,26.0,9.0,13.0,0.0,1.0
1990.0,14.9,21.5,8.7,5.1,84.0,32.0,12.0,12.0,0.0,1.0
1991.0,14.4,21.2,8.3,5.1,77.0,26.0,15.0,17.0,0.0,1.0
1992.0,14.4,20.8,8.6,5.1,93.0,19.0,9.0,2.0,0.0,1.0
1993.0,13.4,19.6,7.6,5.4,98.0,38.0,12.0,10.0,1.0,0.0
1994.0,14.4,21.1,8.0,5.1,66.0,28.0,4.0,9.0,0.0,0.0
1995.0,15.0,22.2,8.4,4.4,41.0,20.0,8.0,12.0,0.0,0.0
1996.0,14.0,20.5,7.6,5.0,68.0,23.0,14.0,13.0,0.0,0.0
1999.0,15.7,22.4,8.9,7.6,98.0,15.0,13.0,18.0,0.0,0.0
2000.0,16.0,22.5,9.1,8.0,84.0,19.0,11.0,25.0,0.0,2.0
2001.0,16.3,22.7,9.2,8.2,80.0,20.0,12.0,23.0,1.0,0.0
2003.0,15.6,21.7,8.9,7.8,109.0,22.0,13.0,19.0,0.0,1.0
2004.0,16.6,22.8,9.6,7.7,104.0,17.0,7.0,34.0,0.0,0.0
2006.0,16.4,22.6,9.0,9.1,93.0,29.0,21.0,44.0,0.0,0.0
2007.0,16.2,22.6,8.5,9.0,86.0,17.0,16.0,37.0,0.0,0.0
2008.0,15.9,22.3,8.4,8.8,75.0,34.0,7.0,45.0,0.0,3.0
2009.0,16.1,22.3,8.7,9.0,119.0,12.0,22.0,31.0,0.0,1.0
2010.0,16.8,23.3,9.4,9.0,109.0,13.0,27.0,27.0,0.0,0.0
2011.0,15.8,21.8,8.6,9.5,105.0,41.0,16.0,50.0,0.0,0.0
2012.0,15.0,21.4,7.9,9.4,86.0,40.0,23.0,28.0,0.0,2.0
2013.0,16.3,22.6,9.1,9.6,90.0,29.0,17.0,22.0,0.0,0.0
2014.0,14.9,21.2,7.8,9.5,96.0,30.0,13.0,34.0,0.0,2.0
2015.0,16.3,22.3,9.6,9.9,119.0,23.0,19.0,14.0,0.0,0.0
2016.0,16.8,23.3,9.9,9.9,102.0,24.0,11.0,6.0,0.0,0.0
2017.0,16.0,22.3,9.0,9.9,92.0,27.0,14.0,31.0,0.0,0.0
2018.0,16.0,22.4,9.3,9.7,92.0,16.0,9.0,30.0,0.0,0.0
2019.0,16.6,22.5,10.0,9.8,111.0,16.0,12.0,19.0,0.0,0.0
2020.0,15.5,21.3,9.2,9.8,92.0,37.0,18.0,26.0,0.0,0.0
2021.0,17.0,23.4,10.1,10.0,82.0,11.0,10.0,14.0,0.0,0.0
2022.0,16.7,22.6,10.2,9.8,115.0,17.0,14.0,32.0,0.0,0.0
2023.0,17.3,23.6,10.4,10.0,96.0,15.0,14.0,19.0,0.0,0.0
